number,type,gu,area,room,lat,long
635,다가구,서대문구,573.06,10,37.599438,126.9407972
636,다가구,강서구,590.96,16,37.5492075,126.8412684
637,다가구,강북구,593.65,12,37.6458746,127.0404199
638,다가구,강북구,510.18,10,37.6300851,127.0209993
639,다가구,강북구,530.56,8,37.6300851,127.0209993
640,다가구,강북구,485.28,10,37.6300851,127.0209993
641,다가구,강북구,480.75,10,37.6443432,127.0256341
642,다가구,강북구,550.03,11,37.6443432,127.0256341
643,다가구,강북구,487.37,10,37.6526753,127.028263
644,다가구,강북구,492.46,10,37.6416147,127.0222114
645,다가구,강북구,398.8,8,37.6416147,127.0222114
646,다가구,강북구,523.57,11,37.6361763,127.0216842
647,다가구,강북구,419.52,8,37.6434064,127.0173216
648,다가구,강북구,600.79,12,37.654614,127.02758
649,다가구,강북구,527.22,11,37.6556907,127.0272448
650,다가구,강북구,494.28,10,37.654614,127.02758
651,다가구,강북구,593.32,11,37.6534156,127.0298501
652,다가구,강북구,594.62,14,37.6556907,127.0272448
653,다가구,구로구,496.76,10,37.4961293,126.8598384
654,다가구,구로구,481.21,10,37.5000673,126.8574058
655,다가구,구로구,468.96,10,37.5000673,126.8574058
656,다가구,구로구,383.08,8,37.5091554,126.8467894
657,다가구,구로구,599.28,12,37.4916902,126.8602367
658,다가구,구로구,205.53,4,37.4916902,126.8602367
659,다가구,금천구,470.33,8,37.4646244,126.9094976
660,다가구,노원구,352.01,8,37.6412937,127.0656301
661,다가구,도봉구,318.4,8,37.6545306,127.0434361
662,다가구,도봉구,293.8,8,37.6545306,127.0434361
663,다가구,동대문구,397.84,8,37.5762259,127.0727237
664,다가구,동대문구,343.54,8,37.5762259,127.0727237
665,다가구,동대문구,386.22,8,37.5762259,127.0727237
666,다가구,동대문구,356.88,8,37.5762259,127.0727237
667,다가구,동대문구,369.36,8,37.5760545,127.0729952
668,다가구,동대문구,356.88,8,37.5760545,127.0729952
669,다가구,서대문구,317.21,7,37.5894023,126.9210225
670,다가구,서대문구,487.13,10,37.5997107,126.9402029
671,다가구,서대문구,583.17,10,37.5997107,126.9402029
672,다가구,서대문구,478.04,8,37.5987587,126.9413906
673,다가구,서대문구,560.67,10,37.5987587,126.9413906
674,다가구,성북구,456.37,8,37.6146549,127.020154
675,다가구,성북구,346.48,8,37.618095,127.0195702
676,다가구,성북구,351.62,8,37.618095,127.0195702
677,다가구,양천구,581.32,10,37.5381775,126.8361945
678,다가구,양천구,468.58,8,37.535463,126.841925
679,다가구,양천구,595.88,11,37.5442741,126.8401639
680,다가구,은평구,465.54,8,37.6242805,126.9192776
681,다가구,노원구,231.45,6,37.6393613,127.0496084
682,다가구,강북구,481.58,10,37.6333642,127.0207288
